ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
1283,218,50.0,residential,Sembawang Crescent,103.81475644,1.44680477,35.4886618394,0.339558074,0.33685363769531246
1284,1390,150.0,residential,Old Nelson Road,103.8226985,1.44862986,35.4987987172,0.56097653,0.47394287109375
1285,2188,50.0,primary,Sembawang Road,103.82629665,1.44748223,35.5911668142,0.622132252,0.47961242675781257
1286,2063,50.0,residential,Canberra Street,103.83321847,1.44710312,35.6209068298,0.487910793,0.42104858398437495
1287,1959,250.0,residential,Canberra Way,103.83319024,1.44622061,35.6231651306,0.389291828,0.4132025146484375
1288,720,200.0,residential,Jalan Salang,103.82581765,1.43974063,35.629378455,0.249808925,0.1110369873046875
1289,2358,50.0,primary,Sembawang Way,103.81445448,1.44812999,35.6467490563,0.201701418,0.17561767578125
1290,80,50.0,residential,Canberra Street,103.83312235,1.44705165,35.6549395048,0.428360155,0.3252752685546875
1291,80,100.0,residential,Canberra Street,103.83288549,1.44743589,35.6658224626,0.498673946,0.38152404785156246
1292,2536,50.0,residential,Canberra Street,103.83252225,1.44800077,35.7071827975,0.185095967,0.1414959716796875
1293,2536,100.0,residential,Canberra Street,103.83227699,1.44837964,35.8626609215,0.543121072,0.4829534912109375
1294,2354,150.0,residential,Canberra Street,103.83285656,1.44766824,35.8947541373,0.321370072,0.197840576171875
1295,1913,50.0,primary,Yishun Avenue 2,103.83458678,1.43444183,35.8948877508,0.273447218,0.2302886962890625
1296,2354,100.0,residential,Canberra Street,103.8326182,1.44805154,35.9452705383,0.197004756,0.175128173828125
1297,532,100.0,residential,Sembawang Crescent,103.81461471,1.44710575,35.9592106159,0.440991837,0.28791687011718753
1298,2599,50.0,residential,Canberra Walk,103.82870291,1.4468204,35.9664685386,0.267540192,0.26279296875
1299,2286,350.0,primary,Yishun Avenue 8,103.83941224,1.44331621,35.9735482534,0.511335753,0.415811767578125
1300,2354,50.0,residential,Canberra Street,103.83237981,1.44843483,36.0334719144,0.514617739,0.3879449462890625
1301,2190,50.0,residential,Sembawang Crescent,103.81509499,1.44557779,36.0655796344,0.357742133,0.2421722412109375
1302,1503,50.0,residential,Canberra Crescent,103.82856056,1.4479489,36.0738369868,0.286761826,0.250970458984375
1303,2434,100.0,primary,Yishun Avenue 7,103.83840194,1.44056647,36.1812905532,0.309474578,0.28267761230468746
1304,2252,50.0,residential,Sembawang Crescent,103.81514861,1.44559848,36.1826728185,0.335898969,0.283726806640625
1305,2211,50.0,residential,Sembawang Crescent,103.81461275,1.44759603,36.2041788101,0.53355969,0.4525494384765625
1306,230,50.0,residential,Sembawang Crescent,103.81451692,1.44776932,36.3639769921,0.321278406,0.2895513916015625
1307,2659,50.0,secondary,Yishun Ring Road,103.83411417,1.4344786,36.3813159649,0.305937137,0.29358032226562497
1308,1503,200.0,residential,Canberra Crescent,103.82841776,1.44791801,36.4923676711,0.29520281,0.4182586669921875
1309,638,50.0,primary,Sembawang Way,103.81403509,1.44793166,36.5194425583,0.340415829,0.39968627929687506
1310,2565,50.0,tertiary,Gambas Crescent,103.81404098,1.44518311,36.5475788116,0.505628578,0.2870220947265625
1311,2135,100.0,residential,Yishun Industrial Park A,103.83592128,1.44268963,36.5652236938,0.254624984,0.2650323486328125
1312,1184,100.0,residential,Canberra Walk,103.828519,1.446581,36.6935512836,0.284584014,0.36296264648437504
1313,2599,100.0,residential,Canberra Walk,103.82908593,1.44705677,36.7129840851,0.31933428,0.33370178222656255
1314,2688,50.0,primary,Canberra Road,103.82215078,1.4484612,36.7424759498,0.330338696,0.29480590820312497
1315,948,50.0,primary,Sembawang Way,103.8149579,1.448245,36.7823059776,0.367038479,0.4220855712890625
1316,1659,50.0,primary,Canberra Road,103.82216473,1.4482052,36.7827355067,0.236037705,0.1392474365234375
1317,1503,150.0,residential,Canberra Crescent,103.82799031,1.44787799,36.7939483098,0.284644318,
1318,828,50.0,primary,Canberra Link,103.82714963,1.44741993,36.7962365584,0.439162337,0.40470703125
1319,1659,100.0,primary,Canberra Road,103.82197171,1.44861353,36.9551200867,0.459095467,0.4435736083984375
1320,1503,100.0,residential,Canberra Crescent,103.82816594,1.44773292,37.0444667523,0.355286963,
1321,289,50.0,secondary,Yishun Ring Road,103.83310188,1.43424325,37.0456110636,0.188039029,0.13439331054687498
1322,2042,150.0,residential,Canberra Way,103.83477176,1.44718423,37.0496892062,0.507550559,0.432183837890625
1323,2152,50.0,primary,Canberra Link,103.82820583,1.44614539,37.0663032532,0.452443446,0.5152154541015626
