ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
263,2037,50,primary,Paya Lebar Road,103.88942,1.33069234,39.19217506,0.301782939,0.332106323
264,261,100,residential,Pereira Road,103.885752,1.33768232,39.19076729,0.208278441,0.189225464
265,1453,100,primary,Airport Road,103.8925435,1.33481983,39.15357942,0.333862469,0.334222412
266,107,50,residential,MacTaggart Road,103.8838329,1.33438639,39.07229678,0.355850185,0.325495605
267,2391,50,residential,Tai Seng Drive,103.8945092,1.3377354,39.03987356,0.204168417,0.203673096
268,2438,50,residential,MacPherson Lane,103.8851254,1.33134947,39.00067227,0.566159906,0.363007813
269,2621,50,tertiary,Merpati Road,103.8825185,1.32751904,38.97703934,0.33618293,0.237069702
270,1674,50,residential,Tai Seng Avenue,103.8931638,1.33659588,38.97044138,0.237749906,0.193291016
271,688,150,primary,Airport Road,103.8949454,1.33636576,38.93711581,0.40993008,0.408761597
272,1896,50,primary,Bartley Road East,103.8860359,1.34116633,38.93671172,0.077347863,0.172041016
273,111,50,residential,Jalan Chengkek,103.8844398,1.32998388,38.93553778,0.150847064,0.07914978
274,99,100,primary,Airport Road,103.892556,1.33499931,38.91820018,0.468162076,0.449987183
275,1453,50,primary,Airport Road,103.892946,1.33502062,38.85135064,0.294241307,0.196193848
276,1484,50,secondary,Bartley Road East,103.895906,1.34154482,38.84383219,0.278416885,0.231484375
277,2634,50,residential,Jalan Melor,103.8847698,1.33181357,38.82604436,0.299104728,0.320040894
278,714,200,primary,Upper Paya Lebar Road,103.8878425,1.33661044,38.7914907,0.468531701,0.549214478
279,1967,100,residential,Ubi Road 4,103.8996211,1.33114031,38.78814022,0.238847442,0.321098633
280,2469,100,residential,Jalan Chengkek,103.8846669,1.33177782,38.77834261,0.290356697,0.292553101
281,661,50,tertiary,Merpati Road,103.8854119,1.3274832,38.73239194,0.254497959,0.203231812
282,2173,50,primary,Upper Paya Lebar Road,103.8850777,1.34095727,38.69408035,0.13902733,0.088403931
283,1037,50,primary,Upper Paya Lebar Underpass,103.8850675,1.34078182,38.67435891,0.1436683,0.085852051
284,337,50,residential,MacPherson Lane,103.8852081,1.33190508,38.57641138,0.385132535,0.327921143
285,1917,50,residential,Tai Seng Avenue,103.8893933,1.33826197,38.57236753,0.336774504,0.260230713
286,186,150,primary,Upper Paya Lebar Road,103.8881021,1.33573276,38.57151853,0.154577721,0.147774658
287,1038,50,primary,Paya Lebar Road,103.889962,1.32782521,38.47403308,0.379780481,0.356947021
288,137,50,primary,Bartley Road East,103.8855966,1.34104746,38.39651548,0.16317039,0.391293945
289,1967,50,residential,Ubi Road 4,103.9000325,1.33131954,38.3884471,0.324996099,0.394909058
290,107,100,residential,MacTaggart Road,103.8834472,1.33415663,38.36667283,0.247045403,0.295854492
291,233,100,primary,Airport Road,103.8956601,1.33734648,38.23629379,0.346292306,0.212880859
292,186,200,primary,Upper Paya Lebar Road,103.8879156,1.33614414,38.21860967,0.190047631,0.18524231
293,2297,50,primary,Airport Road,103.8944931,1.33601811,38.189984,0.256046788,0.214130249
294,718,50,secondary,Airport Road,103.8964403,1.33788735,38.18801062,0.276570019,0.277007446
295,1923,50,residential,Irving Place,103.8863292,1.33601776,38.15325356,0.303596549,0.376686401
296,2114,50,primary,Paya Lebar Road,103.8894603,1.33121482,38.15297154,0.370019782,0.36494751
297,1273,100,primary,Airport Road,103.8957071,1.33729936,38.14724761,0.345693004,0.300151367
298,1273,150,primary,Airport Road,103.8960283,1.33761549,38.10288484,0.261053132,0.152701416
299,36,100,residential,Tai Seng Avenue,103.8881638,1.33972821,38.01575334,0.355726814,0.34894165
300,99,150,primary,Airport Road,103.8929495,1.33521701,38.01354911,0.435224845,0.467756958
301,65,100,primary,Paya Lebar Road,103.8901234,1.3279857,37.98539558,0.519649347,0.404729004
302,1330,50,tertiary,Ubi Avenue 1,103.9003603,1.32984835,37.96751903,0.292677609,0.314210205
303,1821,50,residential,Tai Seng Avenue,103.8879034,1.33996738,37.92513116,0.421725613,0.498324585
304,282,50,primary,Paya Lebar Road,103.8892568,1.33143207,37.85157067,0.382635427,0.40920166
305,36,50,residential,Tai Seng Avenue,103.8878914,1.34008776,37.82040992,0.403298435,0.498220215
306,714,250,primary,Upper Paya Lebar Road,103.8880308,1.33619991,37.80392774,0.312869318,0.406895142
307,1984,150,secondary,Ubi Avenue 2,103.8989376,1.32974494,37.63260768,0.202799515,0.265900269
308,2370,100,primary,Paya Lebar Road,103.8897948,1.32878237,37.5008777,0.239918165,0.267134399
309,197,50,tertiary,Circuit Road,103.8877288,1.32750262,37.47285788,0.433240187,0.43614563
310,1192,50,tertiary,Circuit Road,103.8855573,1.32802879,37.22440338,0.475745661,0.430595093
311,2370,150,primary,Paya Lebar Road,103.8897132,1.32922703,37.08541371,0.535805136,0.42446167
312,1723,50,secondary,Ubi Avenue 2,103.8999009,1.33027834,37.05824016,0.206081147,0.188044434
313,506,50,primary,Paya Lebar Road,103.8898529,1.32923137,36.97571237,0.503849436,0.350239868
314,65,50,primary,Paya Lebar Road,103.8900242,1.3284267,36.9370842,0.328084511,0.276271973
315,2370,50,primary,Paya Lebar Road,103.8898731,1.3283371,36.87926674,0.244421318,0.261159668
