ID,ORIG_FID,ORIG_LEN,fclass,name,lon,lat,LST,NDVI,GVI_Mean
778,1004,150.0,primary,Yio Chu Kang Road,103.8359482,1.3821385,33.5413559505,0.458214971,0.4119775390625
779,2223,150.0,residential,Lentor Hills Road,103.83494023,1.38381582,33.4536427585,0.364000164,0.44337341308593753
780,1829,100.0,primary,Ang Mo Kio Avenue 8,103.84765981,1.37758371,33.4212167913,0.321428808,0.34253723144531256
781,243,200.0,residential,Lentor Hills Road,103.83468196,1.38294955,33.3899429866,0.390597917,0.37918823242187505
782,1173,50.0,primary,Ang Mo Kio Avenue 5,103.84160544,1.37721268,33.3848108564,0.391245416,0.34435668945312503
783,750,100.0,residential,Thomson Hill,103.83441878,1.37805007,33.3818292618,0.280483957,0.23736511230468751
784,243,100.0,residential,Lentor Hills Road,103.83503991,1.38377573,33.3666024889,0.405283479,0.5178619384765625
785,1548,50.0,primary,Ang Mo Kio Avenue 8,103.84752873,1.37752299,33.3504063533,0.441602599,0.4258758544921875
786,156,50.0,primary,Yio Chu Kang Road,103.83580862,1.38217627,33.3459628423,0.383566393,0.26661682128906244
787,2223,50.0,residential,Lentor Hills Road,103.83456374,1.38300082,33.3416671753,0.264426396,0.402459716796875
788,100,50.0,secondary,Ang Mo Kio Avenue 4,103.83793928,1.38332316,33.3265852928,0.570091344,0.5375915527343751
789,121,50.0,primary,Ang Mo Kio Avenue 3,103.83587421,1.3670702,33.325359072,0.501247885,0.5174432373046876
790,2405,50.0,primary,Yio Chu Kang Road,103.83536457,1.38158201,33.3225179819,0.595665767,0.5715496826171875
791,1829,50.0,primary,Ang Mo Kio Avenue 8,103.84755663,1.37802381,33.3156460849,0.364751361,0.3960223388671875
792,2269,50.0,primary,Yio Chu Kang Road,103.83515184,1.38159199,33.2653497549,0.5091918,0.41030151367187495
793,329,50.0,primary,Ang Mo Kio Avenue 5,103.83503112,1.37979535,33.208258311,0.656502637,0.45226684570312503
794,1649,150.0,primary,Ang Mo Kio Avenue 5,103.83762184,1.377241,33.119688901,0.344221595,0.31731018066406247
795,2223,200.0,residential,Lentor Hills Road,103.83508598,1.38424349,33.1158755376,0.332458986,0.37586181640625
796,243,50.0,residential,Lentor Hills Road,103.83518789,1.38420257,33.1054247343,0.43317848,0.460870361328125
797,1005,150.0,primary,Ang Mo Kio Avenue 5,103.84102736,1.37715901,33.0644572865,0.363495603,0.3311431884765625
798,1295,100.0,secondary,Ang Mo Kio Avenue 4,103.8380847,1.38299508,32.9897070798,0.446290937,0.3425579833984375
799,1844,50.0,tertiary,Ang Mo Kio Street 11,103.83471668,1.37098152,32.9783125657,0.407537919,0.2756597900390625
800,216,200.0,primary,Ang Mo Kio Avenue 5,103.83776006,1.37709907,32.964858373,0.309641844,0.29202392578124997
801,1226,50.0,primary,Ang Mo Kio Avenue 5,103.84111036,1.37703838,32.9400277571,0.262109725,0.2903546142578125
802,356,50.0,primary,Ang Mo Kio Avenue 5,103.83732736,1.3772198,32.8390420278,0.578478232,0.43112487792968746
803,2631,50.0,primary,Ang Mo Kio Avenue 5,103.83610855,1.37832539,32.7219285098,0.540943847,0.44804687499999996
804,1649,100.0,primary,Ang Mo Kio Avenue 5,103.83720187,1.37740124,32.6471014023,0.544625829,0.4846856689453125
805,2415,50.0,residential,Ang Mo Kio Street 13,103.83470007,1.37517298,32.5840791556,0.53914827,0.412359619140625
806,243,250.0,residential,Lentor Hills Road,103.8343657,1.38263026,32.5135222215,0.145271103,0.2201025390625
807,216,100.0,primary,Ang Mo Kio Avenue 5,103.83865306,1.3770269,32.3908506121,0.477110814,0.4806951904296875
808,2632,50.0,primary,Ang Mo Kio Avenue 5,103.83473138,1.38021771,32.3250302535,0.788727522,0.5387982177734375
809,1649,200.0,primary,Ang Mo Kio Avenue 5,103.83806443,1.37716646,32.2969660759,0.309764368,0.2991217041015625
810,555,150.0,primary,Ang Mo Kio Avenue 5,103.85416483,1.37594302,32.0725822449,0.478837018,0.381058349609375
811,1333,50.0,secondary,Ang Mo Kio Avenue 2,103.83620481,1.37781685,32.0155451638,0.392016929,0.427164306640625
812,1951,50.0,primary,Ang Mo Kio Avenue 5,103.83486338,1.38020938,31.9964041276,0.734043506,0.5109625244140625
813,1649,250.0,primary,Ang Mo Kio Avenue 5,103.83851269,1.37713748,31.9488282637,0.472901464,0.5144793701171875
814,2673,100.0,primary,Ang Mo Kio Avenue 5,103.83651879,1.37780603,31.9241290459,0.526660731,0.4581915283203125
815,858,50.0,residential,Ellington Square,103.83503853,1.37183141,31.9014663696,0.259403669,0.287738037109375
816,1649,50.0,primary,Ang Mo Kio Avenue 5,103.83683779,1.37766212,31.8274988028,0.706933934,0.550008544921875
817,1266,50.0,secondary,Ang Mo Kio Avenue 2,103.83549814,1.37725295,31.6986983373,0.392466465,0.3865863037109375
818,2673,50.0,primary,Ang Mo Kio Avenue 5,103.83684346,1.37749347,31.5550255775,0.724711125,0.5359619140625
819,1478,100.0,residential,Ellington Square,103.83523899,1.37224192,31.5488471985,0.285109318,0.17023559570312502
820,858,100.0,residential,Ellington Square,103.83477716,1.37146362,31.5125340548,0.292033074,0.3123583984375
821,1266,100.0,secondary,Ang Mo Kio Avenue 2,103.8358445,1.37754096,31.4977404731,0.332565915,0.4175933837890625
822,216,150.0,primary,Ang Mo Kio Avenue 5,103.83820386,1.37703413,31.4420193263,0.44702106,0.382891845703125
823,2631,200.0,primary,Ang Mo Kio Avenue 5,103.83530564,1.37941494,31.3283853531,0.393680312,0.3591827392578125
824,929,50.0,residential,Ang Mo Kio Street 13,103.83636276,1.37373228,31.2054105238,0.593465038,0.4591925048828125
825,1478,50.0,residential,Ellington Square,103.83487057,1.37250073,31.0267884391,0.388618627,0.3980377197265625
826,2631,100.0,primary,Ang Mo Kio Avenue 5,103.83584358,1.37869057,31.0130887032,0.505316049,0.42583557128906246
827,1948,50.0,residential,Ellington Square,103.83466327,1.37147704,30.9961492365,0.319965234,0.30351623535156247
828,2631,150.0,primary,Ang Mo Kio Avenue 5,103.83557586,1.37905369,30.8665005366,0.738654941,0.5314031982421875
829,1078,50.0,primary,Ang Mo Kio Avenue 5,103.835835,1.37888469,30.8208770752,0.544865064,0.36601318359374996
830,2620,50.0,primary,Ang Mo Kio Avenue 5,103.83533437,1.37958595,30.6995585305,0.498589667,0.40511230468750004
831,1854,100.0,residential,Ang Mo Kio Street 13,103.83622579,1.37384191,30.6667324946,0.626963347,0.5217401123046875
832,929,100.0,residential,Ang Mo Kio Street 13,103.83595554,1.37392061,29.7557128026,0.743699762,0.5085052490234375
833,1854,50.0,residential,Ang Mo Kio Street 13,103.83583469,1.37405723,28.9714984894,0.755799516,0.5391680908203125
834,929,150.0,residential,Ang Mo Kio Street 13,103.83562295,1.37422056,28.2390173399,0.806369337,0.5347857666015625
